oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000347,2691.18636465575,2845.956022275093,307040.0970873786,103,7,1
E00000348,2222.6873897707246,2465.1540764954584,180193.04201680672,238,5,1
E00000349,2573.219385719,2628.8904896922854,284236.44736842107,114,5,1
E00000350,2722.77227722772,2673.669250490969,266946.87058823527,85,5,1
E00000351,2645.688122151135,2799.8870702749514,264016.7083333333,120,7,1
E00000353,2474.91189796946,2628.77551091829,256518.03636363638,110,4,1
E00000354,2568.613652357495,2697.830934072535,233512.3404255319,94,5,1
E00000355,2395.3488372093,2624.757667517938,234310.46086956523,115,5,1
E00000356,2716.1700048852,2712.8607142158135,264982.8350515464,97,4,1
E00000357,2629.90840663825,2758.6895414201704,244898.35766423357,137,4,1
E00000358,2079.90182781326,2052.946106538453,128627.82051282052,78,4,1
E00000360,1911.21171788874,2018.3893283506625,147759.14772727274,88,3,1
E00000361,2328.35820895522,2472.596110422898,162155.64705882352,85,3,1
E00000362,2126.60116900883,2442.9185913568003,172162.8260869565,69,3,1
E00000363,2094.776119402985,2245.333757415502,162792.05128205128,78,3,1
E00000364,2419.35483870968,2632.2203065034373,190385.43859649124,57,2,1
E00000365,2330.281825153375,2374.4722626741814,174749.75,40,4,1
E00000366,2266.8272447477602,2414.3141691526716,169283.24324324325,74,5,1
E00000367,2209.87654320988,2406.4691743213343,174921.94968553458,159,5,1
E00000368,2403.36538461538,2543.0623769311533,179740.67415730338,89,5,1
E00000369,2217.910984523435,2261.00368560639,167705.14285714287,70,6,1
E00000370,2823.72336827866,2879.2050341234512,208854.17721518988,79,3,1
E00000371,2245.2618930580547,2436.7703762025153,167151.05263157896,76,3,1
E00000372,2347.634806991635,2561.253624583473,174009.43181818182,88,4,1
E00000373,2274.03616991448,2481.8549394843753,182610.69444444444,72,4,1
E00000374,2253.96825396825,2521.0562575499944,180869.74025974027,77,4,1
E00000375,2275.36231884058,2686.440720643804,190182.53968253967,63,3,1
